teacher_id,teacher_name,teacher_faculty,teacher_email
047981,Vũ Xuân Huy,Khoa Điện tử Viễn thông,huy.vx047981@sis.hust.edu.vn
034179,Vũ Thị Huy,Khoa Ngoại ngữ,huy.vt034179@sis.hust.edu.vn
052330,Phạm Ngọc Dũng,Khoa Cơ khí,dung.pn052330@sis.hust.edu.vn
013247,Đặng Ngọc Anh,Khoa Khoa học máy tính,anh.dn013247@sis.hust.edu.vn
061514,Phạm Anh Huy,Khoa Công nghệ giáo dục,huy.pa061514@sis.hust.edu.vn
027640,Bùi Quang Huy,Khoa Kĩ thuật máy tính,huy.bq027640@sis.hust.edu.vn
038380,Phạm Văn Anh,Khoa Ngoại ngữ,anh.pv038380@sis.hust.edu.vn
021245,Đỗ Minh Dũng,Khoa Kĩ thuật máy tính,dung.dm021245@sis.hust.edu.vn
016547,Lê Xuân Nam,Khoa Khoa học máy tính,nam.lx016547@sis.hust.edu.vn
045556,Phạm Thị Sơn,Khoa Điện tử Viễn thông,son.pt045556@sis.hust.edu.vn
014250,Vũ Huy Dũng,Khoa Khoa học máy tính,dung.vh014250@sis.hust.edu.vn
016033,Hoàng Văn Anh,Khoa Khoa học máy tính,anh.hv016033@sis.hust.edu.vn
053336,Vũ Văn Nam,Khoa Cơ khí,nam.vv053336@sis.hust.edu.vn
054398,Lê Thị Anh,Khoa Cơ khí,anh.lt054398@sis.hust.edu.vn
068034,Hồ Ngọc Nam,Khoa Công nghệ giáo dục,nam.hn068034@sis.hust.edu.vn
063660,Hoàng Minh Anh,Khoa Công nghệ giáo dục,anh.hm063660@sis.hust.edu.vn
046997,Đặng Thanh Anh,Khoa Điện tử Viễn thông,anh.dt046997@sis.hust.edu.vn
021602,Đỗ Việt Huy,Khoa Kĩ thuật máy tính,huy.dv021602@sis.hust.edu.vn
039959,Trần Xuân Huy,Khoa Ngoại ngữ,huy.tx039959@sis.hust.edu.vn
057097,Trần Huy Hương,Khoa Cơ khí,huong.th057097@sis.hust.edu.vn
041309,Bùi Anh Huy,Khoa Điện tử Viễn thông,huy.ba041309@sis.hust.edu.vn
015577,Trần Việt Sơn,Khoa Khoa học máy tính,son.tv015577@sis.hust.edu.vn
026600,Hoàng Thanh Anh,Khoa Kĩ thuật máy tính,anh.ht026600@sis.hust.edu.vn
025469,Đỗ Huy Sơn,Khoa Kĩ thuật máy tính,son.dh025469@sis.hust.edu.vn
028136,Đỗ Anh Hương,Khoa Kĩ thuật máy tính,huong.da028136@sis.hust.edu.vn
017613,Đặng Việt Thảo,Khoa Khoa học máy tính,thao.dv017613@sis.hust.edu.vn
049081,Nguyễn Quang Sơn,Khoa Điện tử Viễn thông,son.nq049081@sis.hust.edu.vn
046568,Hoàng Minh Hương,Khoa Điện tử Viễn thông,huong.hm046568@sis.hust.edu.vn
064379,Bùi Thanh Linh,Khoa Công nghệ giáo dục,linh.bt064379@sis.hust.edu.vn
023569,Phạm Thị Trang,Khoa Kĩ thuật máy tính,trang.pt023569@sis.hust.edu.vn
045839,Nguyễn Văn Nam,Khoa Điện tử Viễn thông,nam.nv045839@sis.hust.edu.vn
041549,Bùi Quang Dũng,Khoa Điện tử Viễn thông,dung.bq041549@sis.hust.edu.vn
067785,Vũ Xuân Nam,Khoa Công nghệ giáo dục,nam.vx067785@sis.hust.edu.vn
062043,Bùi Văn Anh,Khoa Công nghệ giáo dục,anh.bv062043@sis.hust.edu.vn
042900,Đỗ Việt Huy,Khoa Điện tử Viễn thông,huy.dv042900@sis.hust.edu.vn
014867,Lê Văn Dũng,Khoa Khoa học máy tính,dung.lv014867@sis.hust.edu.vn
069272,Hoàng Ngọc Trang,Khoa Công nghệ giáo dục,trang.hn069272@sis.hust.edu.vn
064918,Trần Văn Huy,Khoa Công nghệ giáo dục,huy.tv064918@sis.hust.edu.vn
058431,Đặng Việt Sơn,Khoa Cơ khí,son.dv058431@sis.hust.edu.vn
044018,Hồ Thanh Linh,Khoa Điện tử Viễn thông,linh.ht044018@sis.hust.edu.vn
015924,Trần Quang Trang,Khoa Khoa học máy tính,trang.tq015924@sis.hust.edu.vn
066233,Nguyễn Quang Anh,Khoa Công nghệ giáo dục,anh.nq066233@sis.hust.edu.vn
029974,Trần Quang Trang,Khoa Kĩ thuật máy tính,trang.tq029974@sis.hust.edu.vn
032260,Trần Quang Trang,Khoa Ngoại ngữ,trang.tq032260@sis.hust.edu.vn
029150,Hồ Xuân Tú,Khoa Kĩ thuật máy tính,tu.hx029150@sis.hust.edu.vn
026451,Bùi Minh Sơn,Khoa Kĩ thuật máy tính,son.bm026451@sis.hust.edu.vn
069795,Đỗ Xuân Huy,Khoa Công nghệ giáo dục,huy.dx069795@sis.hust.edu.vn
012103,Phạm Minh Tú,Khoa Khoa học máy tính,tu.pm012103@sis.hust.edu.vn
049590,Nguyễn Ngọc Huy,Khoa Điện tử Viễn thông,huy.nn049590@sis.hust.edu.vn
055133,Đỗ Thị Linh,Khoa Cơ khí,linh.dt055133@sis.hust.edu.vn
016077,Lê Thị Linh,Khoa Khoa học máy tính,linh.lt016077@sis.hust.edu.vn
047062,Trần Thị Dũng,Khoa Điện tử Viễn thông,dung.tt047062@sis.hust.edu.vn
014785,Bùi Ngọc Tú,Khoa Khoa học máy tính,tu.bn014785@sis.hust.edu.vn
036115,Bùi Văn Sơn,Khoa Ngoại ngữ,son.bv036115@sis.hust.edu.vn
037815,Lê Việt Thảo,Khoa Ngoại ngữ,thao.lv037815@sis.hust.edu.vn
041446,Đặng Việt Linh,Khoa Điện tử Viễn thông,linh.dv041446@sis.hust.edu.vn
049008,Nguyễn Huy Thảo,Khoa Điện tử Viễn thông,thao.nh049008@sis.hust.edu.vn
063864,Hoàng Quang Trang,Khoa Công nghệ giáo dục,trang.hq063864@sis.hust.edu.vn
057381,Nguyễn Thanh Trang,Khoa Cơ khí,trang.nt057381@sis.hust.edu.vn
025210,Trần Ngọc Nam,Khoa Kĩ thuật máy tính,nam.tn025210@sis.hust.edu.vn
017723,Hồ Huy Tú,Khoa Khoa học máy tính,tu.hh017723@sis.hust.edu.vn
022091,Trần Anh Thảo,Khoa Kĩ thuật máy tính,thao.ta022091@sis.hust.edu.vn
055900,Vũ Việt Hương,Khoa Cơ khí,huong.vv055900@sis.hust.edu.vn
037041,Nguyễn Ngọc Anh,Khoa Ngoại ngữ,anh.nn037041@sis.hust.edu.vn
027972,Hồ Xuân Anh,Khoa Kĩ thuật máy tính,anh.hx027972@sis.hust.edu.vn
019006,Đặng Quang Linh,Khoa Khoa học máy tính,linh.dq019006@sis.hust.edu.vn
029242,Hồ Quang Nam,Khoa Kĩ thuật máy tính,nam.hq029242@sis.hust.edu.vn
038325,Đỗ Minh Nam,Khoa Ngoại ngữ,nam.dm038325@sis.hust.edu.vn
059339,Hồ Huy Linh,Khoa Cơ khí,linh.hh059339@sis.hust.edu.vn
057035,Hoàng Huy Huy,Khoa Cơ khí,huy.hh057035@sis.hust.edu.vn
017623,Đặng Anh Sơn,Khoa Khoa học máy tính,son.da017623@sis.hust.edu.vn
052452,Trần Văn Sơn,Khoa Cơ khí,son.tv052452@sis.hust.edu.vn
043755,Bùi Ngọc Linh,Khoa Điện tử Viễn thông,linh.bn043755@sis.hust.edu.vn
067964,Lê Minh Anh,Khoa Công nghệ giáo dục,anh.lm067964@sis.hust.edu.vn
046255,Hồ Ngọc Dũng,Khoa Điện tử Viễn thông,dung.hn046255@sis.hust.edu.vn
023730,Trần Quang Tú,Khoa Kĩ thuật máy tính,tu.tq023730@sis.hust.edu.vn
047592,Đỗ Xuân Thảo,Khoa Điện tử Viễn thông,thao.dx047592@sis.hust.edu.vn
068978,Lê Thị Dũng,Khoa Công nghệ giáo dục,dung.lt068978@sis.hust.edu.vn
044970,Vũ Thị Linh,Khoa Điện tử Viễn thông,linh.vt044970@sis.hust.edu.vn
058934,Hồ Minh Nam,Khoa Cơ khí,nam.hm058934@sis.hust.edu.vn
032966,Hồ Xuân Hương,Khoa Ngoại ngữ,huong.hx032966@sis.hust.edu.vn
041179,Phạm Văn Linh,Khoa Điện tử Viễn thông,linh.pv041179@sis.hust.edu.vn
052384,Bùi Minh Sơn,Khoa Cơ khí,son.bm052384@sis.hust.edu.vn
044598,Bùi Anh Thảo,Khoa Điện tử Viễn thông,thao.ba044598@sis.hust.edu.vn
063187,Vũ Thanh Nam,Khoa Công nghệ giáo dục,nam.vt063187@sis.hust.edu.vn
047187,Bùi Thị Trang,Khoa Điện tử Viễn thông,trang.bt047187@sis.hust.edu.vn
034683,Bùi Huy Thảo,Khoa Ngoại ngữ,thao.bh034683@sis.hust.edu.vn
035897,Hồ Quang Tú,Khoa Ngoại ngữ,tu.hq035897@sis.hust.edu.vn
019462,Đặng Minh Nam,Khoa Khoa học máy tính,nam.dm019462@sis.hust.edu.vn
061648,Trần Anh Hương,Khoa Công nghệ giáo dục,huong.ta061648@sis.hust.edu.vn
011094,Trần Việt Thảo,Khoa Khoa học máy tính,thao.tv011094@sis.hust.edu.vn
044337,Vũ Ngọc Nam,Khoa Điện tử Viễn thông,nam.vn044337@sis.hust.edu.vn
023990,Hồ Thị Anh,Khoa Kĩ thuật máy tính,anh.ht023990@sis.hust.edu.vn
053940,Hồ Minh Hương,Khoa Cơ khí,huong.hm053940@sis.hust.edu.vn
025390,Lê Xuân Linh,Khoa Kĩ thuật máy tính,linh.lx025390@sis.hust.edu.vn
064106,Đặng Việt Nam,Khoa Công nghệ giáo dục,nam.dv064106@sis.hust.edu.vn
066447,Lê Văn Dũng,Khoa Công nghệ giáo dục,dung.lv066447@sis.hust.edu.vn
035571,Trần Thanh Tú,Khoa Ngoại ngữ,tu.tt035571@sis.hust.edu.vn
046748,Phạm Ngọc Linh,Khoa Điện tử Viễn thông,linh.pn046748@sis.hust.edu.vn
066592,Nguyễn Xuân Tú,Khoa Công nghệ giáo dục,tu.nx066592@sis.hust.edu.vn
026224,Đỗ Xuân Dũng,Khoa Kĩ thuật máy tính,dung.dx026224@sis.hust.edu.vn
038571,Bùi Thanh Linh,Khoa Ngoại ngữ,linh.bt038571@sis.hust.edu.vn
019618,Hồ Thanh Tú,Khoa Khoa học máy tính,tu.ht019618@sis.hust.edu.vn
023850,Lê Việt Dũng,Khoa Kĩ thuật máy tính,dung.lv023850@sis.hust.edu.vn
068634,Nguyễn Quang Anh,Khoa Công nghệ giáo dục,anh.nq068634@sis.hust.edu.vn
016294,Nguyễn Huy Trang,Khoa Khoa học máy tính,trang.nh016294@sis.hust.edu.vn
044999,Hoàng Việt Huy,Khoa Điện tử Viễn thông,huy.hv044999@sis.hust.edu.vn
043458,Phạm Anh Trang,Khoa Điện tử Viễn thông,trang.pa043458@sis.hust.edu.vn
015104,Đỗ Huy Huy,Khoa Khoa học máy tính,huy.dh015104@sis.hust.edu.vn
029762,Vũ Anh Nam,Khoa Kĩ thuật máy tính,nam.va029762@sis.hust.edu.vn
026058,Trần Việt Hương,Khoa Kĩ thuật máy tính,huong.tv026058@sis.hust.edu.vn
043137,Nguyễn Xuân Dũng,Khoa Điện tử Viễn thông,dung.nx043137@sis.hust.edu.vn
029092,Đỗ Anh Dũng,Khoa Kĩ thuật máy tính,dung.da029092@sis.hust.edu.vn
068757,Đặng Việt Hương,Khoa Công nghệ giáo dục,huong.dv068757@sis.hust.edu.vn
056134,Lê Văn Dũng,Khoa Cơ khí,dung.lv056134@sis.hust.edu.vn
038761,Phạm Quang Huy,Khoa Ngoại ngữ,huy.pq038761@sis.hust.edu.vn
037509,Đỗ Quang Dũng,Khoa Ngoại ngữ,dung.dq037509@sis.hust.edu.vn
069849,Lê Thị Dũng,Khoa Công nghệ giáo dục,dung.lt069849@sis.hust.edu.vn
043107,Trần Anh Tú,Khoa Điện tử Viễn thông,tu.ta043107@sis.hust.edu.vn
023089,Nguyễn Huy Dũng,Khoa Kĩ thuật máy tính,dung.nh023089@sis.hust.edu.vn
043892,Hồ Quang Huy,Khoa Điện tử Viễn thông,huy.hq043892@sis.hust.edu.vn
048143,Hoàng Việt Sơn,Khoa Điện tử Viễn thông,son.hv048143@sis.hust.edu.vn
011965,Nguyễn Huy Dũng,Khoa Khoa học máy tính,dung.nh011965@sis.hust.edu.vn
047930,Trần Minh Linh,Khoa Điện tử Viễn thông,linh.tm047930@sis.hust.edu.vn
069025,Vũ Anh Nam,Khoa Công nghệ giáo dục,nam.va069025@sis.hust.edu.vn
036812,Nguyễn Xuân Sơn,Khoa Ngoại ngữ,son.nx036812@sis.hust.edu.vn
054236,Phạm Thị Trang,Khoa Cơ khí,trang.pt054236@sis.hust.edu.vn
048571,Hoàng Huy Anh,Khoa Điện tử Viễn thông,anh.hh048571@sis.hust.edu.vn
061258,Trần Ngọc Linh,Khoa Công nghệ giáo dục,linh.tn061258@sis.hust.edu.vn
052602,Phạm Minh Trang,Khoa Cơ khí,trang.pm052602@sis.hust.edu.vn
046976,Lê Thanh Huy,Khoa Điện tử Viễn thông,huy.lt046976@sis.hust.edu.vn
038603,Nguyễn Thị Trang,Khoa Ngoại ngữ,trang.nt038603@sis.hust.edu.vn
067628,Trần Việt Anh,Khoa Công nghệ giáo dục,anh.tv067628@sis.hust.edu.vn
021840,Đỗ Thanh Nam,Khoa Kĩ thuật máy tính,nam.dt021840@sis.hust.edu.vn
033394,Hoàng Việt Huy,Khoa Ngoại ngữ,huy.hv033394@sis.hust.edu.vn
043694,Trần Văn Huy,Khoa Điện tử Viễn thông,huy.tv043694@sis.hust.edu.vn
049561,Hồ Thanh Hương,Khoa Điện tử Viễn thông,huong.ht049561@sis.hust.edu.vn
039171,Vũ Quang Linh,Khoa Ngoại ngữ,linh.vq039171@sis.hust.edu.vn
059814,Đỗ Minh Tú,Khoa Cơ khí,tu.dm059814@sis.hust.edu.vn
029355,Lê Anh Hương,Khoa Kĩ thuật máy tính,huong.la029355@sis.hust.edu.vn
027960,Phạm Quang Anh,Khoa Kĩ thuật máy tính,anh.pq027960@sis.hust.edu.vn
026106,Bùi Huy Dũng,Khoa Kĩ thuật máy tính,dung.bh026106@sis.hust.edu.vn
033900,Hoàng Việt Hương,Khoa Ngoại ngữ,huong.hv033900@sis.hust.edu.vn
049236,Đỗ Anh Huy,Khoa Điện tử Viễn thông,huy.da049236@sis.hust.edu.vn
061606,Hoàng Anh Tú,Khoa Công nghệ giáo dục,tu.ha061606@sis.hust.edu.vn
064373,Bùi Quang Anh,Khoa Công nghệ giáo dục,anh.bq064373@sis.hust.edu.vn
036293,Nguyễn Việt Tú,Khoa Ngoại ngữ,tu.nv036293@sis.hust.edu.vn
051374,Hoàng Ngọc Dũng,Khoa Cơ khí,dung.hn051374@sis.hust.edu.vn
064738,Bùi Minh Hương,Khoa Công nghệ giáo dục,huong.bm064738@sis.hust.edu.vn
065831,Đỗ Xuân Linh,Khoa Công nghệ giáo dục,linh.dx065831@sis.hust.edu.vn
042783,Phạm Minh Anh,Khoa Điện tử Viễn thông,anh.pm042783@sis.hust.edu.vn
034130,Đỗ Thị Sơn,Khoa Ngoại ngữ,son.dt034130@sis.hust.edu.vn
023354,Đỗ Thị Thảo,Khoa Kĩ thuật máy tính,thao.dt023354@sis.hust.edu.vn
023781,Trần Quang Trang,Khoa Kĩ thuật máy tính,trang.tq023781@sis.hust.edu.vn
034091,Bùi Quang Nam,Khoa Ngoại ngữ,nam.bq034091@sis.hust.edu.vn
061220,Đỗ Minh Nam,Khoa Công nghệ giáo dục,nam.dm061220@sis.hust.edu.vn
057095,Đặng Thanh Linh,Khoa Cơ khí,linh.dt057095@sis.hust.edu.vn
068172,Vũ Huy Dũng,Khoa Công nghệ giáo dục,dung.vh068172@sis.hust.edu.vn
036931,Bùi Minh Linh,Khoa Ngoại ngữ,linh.bm036931@sis.hust.edu.vn
044545,Vũ Huy Dũng,Khoa Điện tử Viễn thông,dung.vh044545@sis.hust.edu.vn
042111,Hoàng Anh Tú,Khoa Điện tử Viễn thông,tu.ha042111@sis.hust.edu.vn
037363,Nguyễn Huy Sơn,Khoa Ngoại ngữ,son.nh037363@sis.hust.edu.vn
041797,Nguyễn Quang Anh,Khoa Điện tử Viễn thông,anh.nq041797@sis.hust.edu.vn
053280,Hồ Thanh Thảo,Khoa Cơ khí,thao.ht053280@sis.hust.edu.vn
058257,Vũ Việt Tú,Khoa Cơ khí,tu.vv058257@sis.hust.edu.vn
025656,Vũ Anh Nam,Khoa Kĩ thuật máy tính,nam.va025656@sis.hust.edu.vn
014389,Phạm Minh Tú,Khoa Khoa học máy tính,tu.pm014389@sis.hust.edu.vn
013243,Đặng Văn Sơn,Khoa Khoa học máy tính,son.dv013243@sis.hust.edu.vn
068609,Lê Huy Anh,Khoa Công nghệ giáo dục,anh.lh068609@sis.hust.edu.vn
038983,Hoàng Việt Hương,Khoa Ngoại ngữ,huong.hv038983@sis.hust.edu.vn
018513,Đỗ Huy Sơn,Khoa Khoa học máy tính,son.dh018513@sis.hust.edu.vn
052314,Lê Việt Anh,Khoa Cơ khí,anh.lv052314@sis.hust.edu.vn
054961,Nguyễn Thị Dũng,Khoa Cơ khí,dung.nt054961@sis.hust.edu.vn
027243,Lê Xuân Hương,Khoa Kĩ thuật máy tính,huong.lx027243@sis.hust.edu.vn
065028,Vũ Xuân Dũng,Khoa Công nghệ giáo dục,dung.vx065028@sis.hust.edu.vn
032735,Phạm Xuân Sơn,Khoa Ngoại ngữ,son.px032735@sis.hust.edu.vn
057315,Bùi Huy Thảo,Khoa Cơ khí,thao.bh057315@sis.hust.edu.vn
041088,Đỗ Việt Anh,Khoa Điện tử Viễn thông,anh.dv041088@sis.hust.edu.vn
032925,Hồ Văn Linh,Khoa Ngoại ngữ,linh.hv032925@sis.hust.edu.vn
067822,Nguyễn Huy Dũng,Khoa Công nghệ giáo dục,dung.nh067822@sis.hust.edu.vn
041231,Hồ Xuân Hương,Khoa Điện tử Viễn thông,huong.hx041231@sis.hust.edu.vn
047394,Đỗ Văn Thảo,Khoa Điện tử Viễn thông,thao.dv047394@sis.hust.edu.vn
041461,Bùi Quang Trang,Khoa Điện tử Viễn thông,trang.bq041461@sis.hust.edu.vn
069809,Nguyễn Quang Nam,Khoa Công nghệ giáo dục,nam.nq069809@sis.hust.edu.vn
042665,Phạm Huy Tú,Khoa Điện tử Viễn thông,tu.ph042665@sis.hust.edu.vn
021458,Lê Quang Nam,Khoa Kĩ thuật máy tính,nam.lq021458@sis.hust.edu.vn
029217,Vũ Thị Trang,Khoa Kĩ thuật máy tính,trang.vt029217@sis.hust.edu.vn
033664,Trần Văn Hương,Khoa Ngoại ngữ,huong.tv033664@sis.hust.edu.vn
037613,Phạm Minh Anh,Khoa Ngoại ngữ,anh.pm037613@sis.hust.edu.vn
014027,Lê Việt Linh,Khoa Khoa học máy tính,linh.lv014027@sis.hust.edu.vn
029702,Lê Quang Huy,Khoa Kĩ thuật máy tính,huy.lq029702@sis.hust.edu.vn
054026,Hoàng Việt Thảo,Khoa Cơ khí,thao.hv054026@sis.hust.edu.vn
023862,Hoàng Ngọc Linh,Khoa Kĩ thuật máy tính,linh.hn023862@sis.hust.edu.vn
017322,Hoàng Thanh Dũng,Khoa Khoa học máy tính,dung.ht017322@sis.hust.edu.vn
069724,Lê Thị Huy,Khoa Công nghệ giáo dục,huy.lt069724@sis.hust.edu.vn
045824,Lê Quang Anh,Khoa Điện tử Viễn thông,anh.lq045824@sis.hust.edu.vn
033048,Hồ Ngọc Sơn,Khoa Ngoại ngữ,son.hn033048@sis.hust.edu.vn
043761,Lê Văn Sơn,Khoa Điện tử Viễn thông,son.lv043761@sis.hust.edu.vn
038800,Bùi Việt Thảo,Khoa Ngoại ngữ,thao.bv038800@sis.hust.edu.vn
048124,Vũ Minh Hương,Khoa Điện tử Viễn thông,huong.vm048124@sis.hust.edu.vn
047671,Vũ Việt Thảo,Khoa Điện tử Viễn thông,thao.vv047671@sis.hust.edu.vn
012129,Hồ Văn Anh,Khoa Khoa học máy tính,anh.hv012129@sis.hust.edu.vn
025690,Bùi Ngọc Sơn,Khoa Kĩ thuật máy tính,son.bn025690@sis.hust.edu.vn
069664,Hoàng Văn Anh,Khoa Công nghệ giáo dục,anh.hv069664@sis.hust.edu.vn
068519,Hoàng Thanh Tú,Khoa Công nghệ giáo dục,tu.ht068519@sis.hust.edu.vn
053226,Hồ Minh Huy,Khoa Cơ khí,huy.hm053226@sis.hust.edu.vn
038217,Hồ Thị Sơn,Khoa Ngoại ngữ,son.ht038217@sis.hust.edu.vn
049265,Nguyễn Thanh Linh,Khoa Điện tử Viễn thông,linh.nt049265@sis.hust.edu.vn
044014,Vũ Huy Tú,Khoa Điện tử Viễn thông,tu.vh044014@sis.hust.edu.vn
026747,Phạm Ngọc Hương,Khoa Kĩ thuật máy tính,huong.pn026747@sis.hust.edu.vn
064841,Lê Thị Linh,Khoa Công nghệ giáo dục,linh.lt064841@sis.hust.edu.vn
028931,Vũ Minh Anh,Khoa Kĩ thuật máy tính,anh.vm028931@sis.hust.edu.vn
036487,Đỗ Việt Nam,Khoa Ngoại ngữ,nam.dv036487@sis.hust.edu.vn
043802,Đỗ Văn Dũng,Khoa Điện tử Viễn thông,dung.dv043802@sis.hust.edu.vn
029063,Bùi Thị Nam,Khoa Kĩ thuật máy tính,nam.bt029063@sis.hust.edu.vn
063517,Hoàng Quang Dũng,Khoa Công nghệ giáo dục,dung.hq063517@sis.hust.edu.vn
053808,Bùi Văn Anh,Khoa Cơ khí,anh.bv053808@sis.hust.edu.vn
029836,Vũ Huy Huy,Khoa Kĩ thuật máy tính,huy.vh029836@sis.hust.edu.vn
018193,Vũ Ngọc Huy,Khoa Khoa học máy tính,huy.vn018193@sis.hust.edu.vn
055960,Bùi Quang Huy,Khoa Cơ khí,huy.bq055960@sis.hust.edu.vn
065092,Đỗ Minh Trang,Khoa Công nghệ giáo dục,trang.dm065092@sis.hust.edu.vn
035908,Hồ Ngọc Nam,Khoa Ngoại ngữ,nam.hn035908@sis.hust.edu.vn
047510,Hoàng Minh Thảo,Khoa Điện tử Viễn thông,thao.hm047510@sis.hust.edu.vn
059567,Đặng Xuân Huy,Khoa Cơ khí,huy.dx059567@sis.hust.edu.vn
033553,Trần Xuân Thảo,Khoa Ngoại ngữ,thao.tx033553@sis.hust.edu.vn
012293,Trần Xuân Hương,Khoa Khoa học máy tính,huong.tx012293@sis.hust.edu.vn
016511,Hồ Quang Dũng,Khoa Khoa học máy tính,dung.hq016511@sis.hust.edu.vn
065041,Hồ Ngọc Tú,Khoa Công nghệ giáo dục,tu.hn065041@sis.hust.edu.vn
037374,Đỗ Anh Linh,Khoa Ngoại ngữ,linh.da037374@sis.hust.edu.vn
026704,Hoàng Quang Dũng,Khoa Kĩ thuật máy tính,dung.hq026704@sis.hust.edu.vn
018134,Hoàng Văn Sơn,Khoa Khoa học máy tính,son.hv018134@sis.hust.edu.vn
016807,Bùi Ngọc Sơn,Khoa Khoa học máy tính,son.bn016807@sis.hust.edu.vn
011245,Nguyễn Văn Nam,Khoa Khoa học máy tính,nam.nv011245@sis.hust.edu.vn
051090,Lê Thị Nam,Khoa Cơ khí,nam.lt051090@sis.hust.edu.vn
048948,Đặng Minh Hương,Khoa Điện tử Viễn thông,huong.dm048948@sis.hust.edu.vn
